t_s,V_pu,delta_V_pu,V_initial_pu
3.18,1.0241903626228295,-0.0058096373819762626,1.0300000000048057
3.19,1.0241870288056438,-0.005812971199161909,1.0300000000048057
3.2,1.0241833320007854,-0.0058166680040203644,1.0300000000048057
3.21,1.024179290527407,-0.005820709477398767,1.0300000000048057
3.22,1.0241749232847013,-0.005825076720104461,1.0300000000048057
3.23,1.0241702496970662,-0.0058297503077395785,1.0300000000048057
3.24,1.024165289658722,-0.005834710346083849,1.0300000000048057
3.25,1.0241600634778152,-0.005839936526990552,1.0300000000048057
3.26,1.0241545918202728,-0.005845408184532941,1.0300000000048057
3.27,1.024148895653426,-0.00585110435137981,1.0300000000048057
3.28,1.0241429961896742,-0.005857003815131545,1.0300000000048057
3.29,1.024136914830221,-0.00586308517458467,1.0300000000048057
3.3,1.0241306731091362,-0.005869326895669547,1.0300000000048057
3.31,1.0241242926377765,-0.005875707367029248,1.0300000000048057
3.32,1.0241177950498292,-0.005882204954976489,1.0300000000048057
3.33,1.0241112019469871,-0.005888798057818612,1.0300000000048057
3.34,1.0241045348455309,-0.00589546515927486,1.0300000000048057
3.35,1.0240978151238114,-0.0059021848809943656,1.0300000000048057
3.36,1.0240910639709062,-0.005908936033899526,1.0300000000048057
3.37,1.024084302336424,-0.005915697668381847,1.0300000000048057
3.38,1.0240775508817401,-0.0059224491230656096,1.0300000000048057
3.39,1.0240708299326122,-0.0059291700721935126,1.0300000000048057
3.4,1.0240641594334436,-0.005935840571362094,1.0300000000048057
3.41,1.0240575589031629,-0.005942441101642881,1.0300000000048057
3.42,1.0240510473929259,-0.0059489526118798874,1.0300000000048057
3.43,1.0240446434456387,-0.005955356559167013,1.0300000000048057
3.44,1.0240383650574727,-0.005961634947333039,1.0300000000048057
3.45,1.024032229641364,-0.00596777036344176,1.0300000000048057
3.46,1.024026253992648,-0.005973746012157832,1.0300000000048057
3.47,1.0240204542568048,-0.0059795457480009695,1.0300000000048057
3.48,1.024014845899475,-0.005985154105330848,1.0300000000048057
3.49,1.0240094436786567,-0.005990556326149088,1.0300000000048057
3.5,1.0240042616192857,-0.005995738385520033,1.0300000000048057
3.51,1.0239993129900655,-0.006000687014740214,1.0300000000048057
3.52,1.0239946102827042,-0.006005389722101517,1.0300000000048057
3.53,1.0239901651934917,-0.006009834811314008,1.0300000000048057
3.54,1.0239859886072638,-0.006014011397541985,1.0300000000048057
3.55,1.0239820905837307,-0.006017909421075052,1.0300000000048057
3.56,1.02397848034621,-0.006021519658595764,1.0300000000048057
3.57,1.023975166272675,-0.006024833732130697,1.0300000000048057
3.58,1.0239721558891826,-0.006027844115623182,1.0300000000048057
3.59,1.0239694558655847,-0.006030544139220995,1.0300000000048057
3.6,1.0239670720135534,-0.006032927991252324,1.0300000000048057
3.61,1.0239650092868056,-0.006034990718000177,1.0300000000048057
3.62,1.0239632717835794,-0.006036728221226362,1.0300000000048057
3.63,1.0239618627512137,-0.006038137253592035,1.0300000000048057
3.64,1.0239607845928418,-0.00603921541196395,1.0300000000048057
3.65,1.0239600388761407,-0.006039961128665006,1.0300000000048057
3.66,1.023959626343999,-0.006040373660806786,1.0300000000048057
3.67,1.0239595469271467,-0.0060404530776589915,1.0300000000048057
3.68,1.0239597997585757,-0.0060402002462300874,1.0300000000048057
3.69,1.0239603831897373,-0.006039616815068483,1.0300000000048057
3.7,1.0239612948084027,-0.006038705196403038,1.0300000000048057
3.71,1.023962531458135,-0.0060374685466706435,1.0300000000048057
3.72,1.02396408925925,-0.0060359107455556504,1.0300000000048057
3.73,1.0239659636312384,-0.006034036373567364,1.0300000000048057
3.74,1.0239681493164732,-0.006031850688332563,1.0300000000048057
3.75,1.0239706404052347,-0.006029359599571071,1.0300000000048057
3.76,1.023973430361814,-0.006026569642991753,1.0300000000048057
3.77,1.0239765120517685,-0.006023487953037199,1.0300000000048057
3.78,1.0239798777700586,-0.006020122234747127,1.0300000000048057
3.79,1.0239835192701674,-0.006016480734638341,1.0300000000048057
3.8,1.0239874277939027,-0.006012572210903011,1.0300000000048057
3.81,1.0239915941020086,-0.006008405902797165,1.0300000000048057
3.82,1.0239960085052657,-0.006003991499540007,1.0300000000048057
3.83,1.0240006608962173,-0.0059993391085884085,1.0300000000048057
3.84,1.0240055407812274,-0.00599445922357833,1.0300000000048057
3.85,1.0240106373129365,-0.005989362691869227,1.0300000000048057
3.86,1.0240159393229262,-0.005984060681879511,1.0300000000048057
3.87,1.0240214353545711,-0.005978564650234608,1.0300000000048057
3.88,1.0240271136959478,-0.00597288630885795,1.0300000000048057
3.89,1.0240329624127489,-0.005967037592056856,1.0300000000048057
3.9,1.0240389693811032,-0.005961030623702568,1.0300000000048057
3.91,1.0240451223202387,-0.005954877684567039,1.0300000000048057
3.92,1.024051408824892,-0.005948591179913754,1.0300000000048057
3.93,1.0240578163974234,-0.005942183607382301,1.0300000000048057
3.94,1.0240643324795091,-0.005935667525296617,1.0300000000048057
3.95,1.0240709444834313,-0.00592905552137446,1.0300000000048057
3.96,1.0240776398227815,-0.005922360182024189,1.0300000000048057
3.97,1.0240844059426504,-0.00591559406215536,1.0300000000048057
3.98,1.0240912303490994,-0.005908769655706303,1.0300000000048057
3.99,1.0240981006380057,-0.0059018993668000785,1.0300000000048057
4.0,1.0241050045230713,-0.005894995481734444,1.0300000000048057
4.01,1.024111929863108,-0.005888070141697677,1.0300000000048057
4.02,1.0241188646883703,-0.005881135316435415,1.0300000000048057
4.03,1.0241257972260895,-0.005874202778716198,1.0300000000048057
4.04,1.0241327159249554,-0.005867284079850377,1.0300000000048057
4.05,1.024139609478726,-0.005860390526079673,1.0300000000048057
4.06,1.0241464668486948,-0.005853533156110924,1.0300000000048057
4.07,1.0241532772852049,-0.00584672271960085,1.0300000000048057
4.08,1.0241600303480403,-0.005839969656765476,1.0300000000048057
4.09,1.0241667159256784,-0.00583328407912731,1.0300000000048057
4.1,1.024173324253462,-0.005826675751343657,1.0300000000048057
4.11,1.0241798459305584,-0.005820154074247297,1.0300000000048057
4.12,1.0241862719357884,-0.005813728069017365,1.0300000000048057
4.13,1.024192593642232,-0.005807406362573708,1.0300000000048057
4.14,1.0241988028306543,-0.005801197174151396,1.0300000000048057
4.15,1.0242048917017086,-0.005795108303097152,1.0300000000048057
4.16,1.0242108528869158,-0.0057891471178899145,1.0300000000048057
4.17,1.0242166794584382,-0.005783320546367543,1.0300000000048057
4.18,1.0242223649376152,-0.005777635067190534,1.0300000000048057
4.19,1.0242279033022825,-0.005772096702523211,1.0300000000048057
4.2,1.0242332889928805,-0.005766711011925274,1.0300000000048057
4.21,1.0242385169173471,-0.005761483087458608,1.0300000000048057
4.22,1.0242435824548122,-0.005756417549993564,1.0300000000048057
4.23,1.0242484814581059,-0.005751518546699863,1.0300000000048057
4.24,1.024253210255095,-0.005746789749710768,1.0300000000048057
4.25,1.0242577656488616,-0.00574223435594412,1.0300000000048057
4.26,1.0242621449167533,-0.005737855088052468,1.0300000000048057
4.27,1.0242663458083048,-0.005733654196500959,1.0300000000048057
4.28,1.024270366542086,-0.005729633462719708,1.0300000000048057
4.29,1.0242742058014718,-0.005725794203333967,1.0300000000048057
4.3,1.0242778627293831,-0.00572213727542259,1.0300000000048057
4.31,1.0242813369220167,-0.005718663082789011,1.0300000000048057
4.32,1.024284628421605,-0.00571537158320079,1.0300000000048057
4.33,1.0242877377082231,-0.005712262296582615,1.0300000000048057
4.34,1.0242906656907087,-0.0057093343140970365,1.0300000000048057
4.35,1.024293413696687,-0.005706586308118711,1.0300000000048057
4.36,1.024295983461787,-0.005704016543018664,1.0300000000048057
4.37,1.0242983771180438,-0.005701622886761903,1.0300000000048057
