t_s,delta_pm_pu,Pm0_pu_sysbase
5.44,0.05246731359019752,1.1175729314688707
5.45,0.05246824063289966,1.1175729314688707
5.46,0.052469156421768665,1.1175729314688707
5.47,0.05247006627455117,1.1175729314688707
5.48,0.05247097540293107,1.1175729314688707
5.49,0.052471888901536694,1.1175729314688707
5.5,0.05247281173743167,1.1175729314688707
5.51,0.052473748740104936,1.1175729314688707
5.52,0.052474704591969734,1.1175729314688707
5.53,0.052475683819394964,1.1175729314688707
5.54,0.052476690784276976,1.1175729314688707
5.55,0.05247772967615347,1.1175729314688707
5.56,0.05247880450489684,1.1175729314688707
5.57,0.05247991909395383,1.1175729314688707
5.58,0.05248107707418677,1.1175729314688707
5.59,0.05248228187827104,1.1175729314688707
5.6,0.0524835367356958,1.1175729314688707
5.61,0.05248484466833643,1.1175729314688707
5.62,0.05248620848663336,1.1175729314688707
5.63,0.05248763078633083,1.1175729314688707
5.64,0.052489113945826275,1.1175729314688707
5.65,0.05249066012408449,1.1175729314688707
5.66,0.05249227125912578,1.1175729314688707
5.67,0.05249394906709311,1.1175729314688707
5.68,0.052495695041877,1.1175729314688707
5.69,0.05249751045528616,1.1175729314688707
5.7,0.052499396357768284,1.1175729314688707
5.71,0.052501353579658815,1.1175729314688707
5.72,0.05250338273294626,1.1175729314688707
5.73,0.05250548421355161,1.1175729314688707
5.74,0.05250765820408288,1.1175729314688707
5.75,0.05250990467708225,1.1175729314688707
5.76,0.05251222339871762,1.1175729314688707
5.77,0.05251461393292719,1.1175729314688707
5.78,0.05251707564598246,1.1175729314688707
5.79,0.052519607711456105,1.1175729314688707
5.8,0.0525222091155769,1.1175729314688707
5.81,0.052524878662956034,1.1175729314688707
5.82,0.05252761498264472,1.1175729314688707
5.83,0.052530416534537466,1.1175729314688707
5.84,0.05253328161605525,1.1175729314688707
5.85,0.05253620836913164,1.1175729314688707
5.86,0.05253919478743993,1.1175729314688707
5.87,0.05254223872387183,1.1175729314688707
5.88,0.05254533789822006,1.1175729314688707
5.89,0.052548489905059025,1.1175729314688707
5.9,0.05255169222179073,1.1175729314688707
5.91,0.05255494221684109,1.1175729314688707
5.92,0.052558237157976195,1.1175729314688707
5.93,0.0525615742207198,1.1175729314688707
5.94,0.052564950496853044,1.1175729314688707
5.95,0.05256836300296964,1.1175729314688707
5.96,0.05257180868905857,1.1175729314688707
5.97,0.05257528444710922,1.1175729314688707
5.98,0.05257878711970328,1.1175729314688707
5.99,0.0525823135085779,1.1175729314688707
6.0,0.052585860383140094,1.1175729314688707
6.01,0.05258942448890582,1.1175729314688707
6.02,0.05259300255585947,1.1175729314688707
6.03,0.05259659130669805,1.1175729314688707
6.04,0.052600187464950064,1.1175729314688707
6.05,0.052603787762951916,1.1175729314688707
6.06,0.05260738894966221,1.1175729314688707
6.07,0.05261098779830143,1.1175729314688707
6.08,0.05261458111379444,1.1175729314688707
6.09,0.052618165740008924,1.1175729314688707
6.1,0.052621738566770715,1.1175729314688707
6.11,0.052625296536648394,1.1175729314688707
6.12,0.05262883665148007,1.1175729314688707
6.13,0.052632355978656446,1.1175729314688707
6.14,0.052635851657121493,1.1175729314688707
6.15,0.05263932090310175,1.1175729314688707
6.16,0.05264276101554336,1.1175729314688707
6.17,0.05264616938125574,1.1175729314688707
6.18,0.052649543479747984,1.1175729314688707
6.19,0.052652880887755535,1.1175729314688707
6.2,0.052656179283456894,1.1175729314688707
6.21,0.052659436450362654,1.1175729314688707
6.22,0.05266265028088256,1.1175729314688707
6.23,0.052665818779570196,1.1175729314688707
6.24,0.05266894006602725,1.1175729314688707
6.25,0.05267201237749482,1.1175729314688707
6.26,0.052675034071093765,1.1175729314688707
6.27,0.05267800362574903,1.1175729314688707
6.28,0.05268091964378347,1.1175729314688707
6.29,0.05268378085217166,1.1175729314688707
6.3,0.052686586103487525,1.1175729314688707
6.31,0.05268933437651992,1.1175729314688707
6.32,0.05269202477656955,1.1175729314688707
